line,type,full_match,label,id,title,URL,code
576,MAINLVL,Artikel 3.32. (buitenoppervlak),Artikel,3.32,(buitenoppervlak),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.7_Artikel3.32,C3_S3_2_P3_2_7_A3_32
577,SUBLVLI,1.	,Lid,1.,(buitenoppervlak),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.7_Artikel3.32_Lid1,C3_S3_2_P3_2_7_A3_32_SUB1
578,SUBLVLI,2.	,Lid,2.,(buitenoppervlak),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.7_Artikel3.32_Lid2,C3_S3_2_P3_2_7_A3_32_SUB2
579,SUBLVLI,3.	,Lid,3.,(buitenoppervlak),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.7_Artikel3.32_Lid3,C3_S3_2_P3_2_7_A3_32_SUB3
580,MAINLVL,Artikel 3.33. (beloopbaar vlak),Artikel,3.33,(beloopbaar vlak),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.7_Artikel3.33,C3_S3_2_P3_2_7_A3_33
581,SUBLVLI,1.	,Lid,1.,(beloopbaar vlak),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.7_Artikel3.33_Lid1,C3_S3_2_P3_2_7_A3_33_SUB1
582,SUBLVLI,2.	,Lid,2.,(beloopbaar vlak),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.7_Artikel3.33_Lid2,C3_S3_2_P3_2_7_A3_33_SUB2
583,SUBLVLI,3.	,Lid,3.,(beloopbaar vlak),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.7_Artikel3.33_Lid3,C3_S3_2_P3_2_7_A3_33_SUB3
584,MAINLVL,Artikel 3.34. (vrijgestelde oppervlakte),Artikel,3.34,(vrijgestelde oppervlakte),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.7_Artikel3.34,C3_S3_2_P3_2_7_A3_34
585,SUBLVLI,1.	,Lid,1.,(vrijgestelde oppervlakte),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.7_Artikel3.34_Lid1,C3_S3_2_P3_2_7_A3_34_SUB1
